model,dataset,lambda,accuracy
ProtoLens,Amazon-C,0.0,50.238749999999996
ProtoLens,Amazon-C,0.3,50.238749999999996
ProtoLens,Amazon-C,0.5,50.238749999999996
ProtoLens,Amazon-C,0.7,50.238749999999996
ProtoLens,Amazon-C,1.0,50.238749999999996
ProtoPFormer,Stanford Dogs-C,0.0,56.88811188811189
ProtoPFormer,Stanford Dogs-C,0.3,56.9965931504393
ProtoPFormer,Stanford Dogs-C,0.5,56.76976869284561
ProtoPFormer,Stanford Dogs-C,0.7,56.9078357539896
ProtoPFormer,Stanford Dogs-C,1.0,55.107584722969335
ProtoSViT,Stanford Cars-C,0.0,89.25219728396489
ProtoSViT,Stanford Cars-C,0.3,89.27994003662697
ProtoSViT,Stanford Cars-C,0.5,89.25411059306218
ProtoSViT,Stanford Cars-C,0.7,89.26367713854863
ProtoSViT,Stanford Cars-C,1.0,87.8325512776008
ProtoViT,CUB-200-C,0.0,55.491091580149224
ProtoViT,CUB-200-C,0.3,55.75927351902499
ProtoViT,CUB-200-C,0.5,55.8044130532912
ProtoViT,CUB-200-C,0.7,58.19813600276148
ProtoViT,CUB-200-C,1.0,66.64586707734792
