model,dataset,lambda,corruption,accuracy
ProtoLens,Amazon-C,0.0,aggressive,50.175
ProtoLens,Amazon-C,0.3,aggressive,50.175
ProtoLens,Amazon-C,0.5,aggressive,50.175
ProtoLens,Amazon-C,0.7,aggressive,50.175
ProtoLens,Amazon-C,1.0,aggressive,50.175
ProtoLens,Amazon-C,0.0,mixed,50.2375
ProtoLens,Amazon-C,0.3,mixed,50.2375
ProtoLens,Amazon-C,0.5,mixed,50.2375
ProtoLens,Amazon-C,0.7,mixed,50.2375
ProtoLens,Amazon-C,1.0,mixed,50.2375
ProtoLens,Amazon-C,0.0,qwerty,50.28125
ProtoLens,Amazon-C,0.3,qwerty,50.28125
ProtoLens,Amazon-C,0.5,qwerty,50.28125
ProtoLens,Amazon-C,0.7,qwerty,50.28125
ProtoLens,Amazon-C,1.0,qwerty,50.28125
ProtoLens,Amazon-C,0.0,remove_char,50.275
ProtoLens,Amazon-C,0.3,remove_char,50.275
ProtoLens,Amazon-C,0.5,remove_char,50.275
ProtoLens,Amazon-C,0.7,remove_char,50.275
ProtoLens,Amazon-C,1.0,remove_char,50.275
ProtoLens,Amazon-C,0.0,swap,50.224999999999994
ProtoLens,Amazon-C,0.3,swap,50.224999999999994
ProtoLens,Amazon-C,0.5,swap,50.224999999999994
ProtoLens,Amazon-C,0.7,swap,50.224999999999994
ProtoLens,Amazon-C,1.0,swap,50.224999999999994
ProtoPFormer,Stanford Dogs-C,0.0,brightness,67.76223776223776
ProtoPFormer,Stanford Dogs-C,0.3,brightness,67.26107226107226
ProtoPFormer,Stanford Dogs-C,0.5,brightness,66.86480186480186
ProtoPFormer,Stanford Dogs-C,0.7,brightness,67.01631701631702
ProtoPFormer,Stanford Dogs-C,1.0,brightness,65.78088578088578
ProtoPFormer,Stanford Dogs-C,0.0,contrast,46.282051282051285
ProtoPFormer,Stanford Dogs-C,0.3,contrast,47.93706293706293
ProtoPFormer,Stanford Dogs-C,0.5,contrast,46.84149184149184
ProtoPFormer,Stanford Dogs-C,0.7,contrast,46.666666666666664
ProtoPFormer,Stanford Dogs-C,1.0,contrast,46.88811188811189
ProtoPFormer,Stanford Dogs-C,0.0,defocus_blur,46.44522144522145
ProtoPFormer,Stanford Dogs-C,0.3,defocus_blur,46.55011655011655
ProtoPFormer,Stanford Dogs-C,0.5,defocus_blur,47.05128205128205
ProtoPFormer,Stanford Dogs-C,0.7,defocus_blur,47.51748251748252
ProtoPFormer,Stanford Dogs-C,1.0,defocus_blur,45.46620046620047
ProtoPFormer,Stanford Dogs-C,0.0,elastic_transform,66.16550116550115
ProtoPFormer,Stanford Dogs-C,0.3,elastic_transform,65.54778554778555
ProtoPFormer,Stanford Dogs-C,0.5,elastic_transform,65.12820512820512
ProtoPFormer,Stanford Dogs-C,0.7,elastic_transform,65.29137529137529
ProtoPFormer,Stanford Dogs-C,1.0,elastic_transform,63.84615384615384
ProtoPFormer,Stanford Dogs-C,0.0,fog,61.85314685314685
ProtoPFormer,Stanford Dogs-C,0.3,fog,62.17948717948718
ProtoPFormer,Stanford Dogs-C,0.5,fog,61.34032634032634
ProtoPFormer,Stanford Dogs-C,0.7,fog,60.95571095571095
ProtoPFormer,Stanford Dogs-C,1.0,fog,59.14918414918415
ProtoPFormer,Stanford Dogs-C,0.0,frost,54.26573426573427
ProtoPFormer,Stanford Dogs-C,0.3,frost,54.73193473193473
ProtoPFormer,Stanford Dogs-C,0.5,frost,54.65034965034965
ProtoPFormer,Stanford Dogs-C,0.7,frost,54.20745920745921
ProtoPFormer,Stanford Dogs-C,1.0,frost,53.58974358974359
ProtoPFormer,Stanford Dogs-C,0.0,gaussian_blur,40.687645687645684
ProtoPFormer,Stanford Dogs-C,0.3,gaussian_blur,40.18648018648019
ProtoPFormer,Stanford Dogs-C,0.5,gaussian_blur,40.73426573426573
ProtoPFormer,Stanford Dogs-C,0.7,gaussian_blur,41.095571095571096
ProtoPFormer,Stanford Dogs-C,1.0,gaussian_blur,36.01398601398601
ProtoPFormer,Stanford Dogs-C,0.0,gaussian_noise,52.26107226107226
ProtoPFormer,Stanford Dogs-C,0.3,gaussian_noise,51.58508158508158
ProtoPFormer,Stanford Dogs-C,0.5,gaussian_noise,51.24708624708625
ProtoPFormer,Stanford Dogs-C,0.7,gaussian_noise,52.226107226107224
ProtoPFormer,Stanford Dogs-C,1.0,gaussian_noise,50.87412587412587
